,resultado,estado,cuenta
112,Evaluación Adicional,Nayarit,280
113,Evaluación Adicional,Nuevo León,536
114,Evaluación Adicional,Oaxaca,256
115,Evaluación Adicional,Puebla,4656
116,Evaluación Adicional,Querétaro,1785
117,Evaluación Adicional,Quintana Roo,2599
118,Evaluación Adicional,San Luis Potosí,1941
119,Evaluación Adicional,Sinaloa,1205
120,Evaluación Adicional,Sonora,1485
121,Evaluación Adicional,Tabasco,472
122,Evaluación Adicional,Tamaulipas,763
123,Evaluación Adicional,Tlaxcala,1559
124,Evaluación Adicional,Veracruz,22
125,Evaluación Adicional,Yucatán,28
126,Evaluación Adicional,Zacatecas,364
127,Negativa,Aguascalientes,916
128,Negativa,Baja California,4767
129,Negativa,Baja California Sur,583
130,Negativa,Campeche,4907
131,Negativa,Chiapas,3859
132,Negativa,Chihuahua,4240
133,Negativa,Ciudad de México,8956
134,Negativa,Coahuila de Zaragoza,1385
135,Negativa,Colima,1245
136,Negativa,Durango,2473
137,Negativa,Estado de México,7712
138,Negativa,Guanajuato,7936
139,Negativa,Guerrero,2698
140,Negativa,Hidalgo,1376
141,Negativa,Jalisco,5798
142,Negativa,Michoacán de Ocampo,3775
143,Negativa,Morelos,3827
144,Negativa,Nayarit,288
145,Negativa,Nuevo León,7911
146,Negativa,Oaxaca,2315
147,Negativa,Puebla,4551
148,Negativa,Querétaro,841
149,Negativa,Quintana Roo,921
150,Negativa,San Luis Potosí,13458
151,Negativa,Sinaloa,5497
152,Negativa,Sonora,5950
153,Negativa,Tabasco,4256
154,Negativa,Tamaulipas,11459
155,Negativa,Tlaxcala,1653
156,Negativa,Veracruz,916
157,Negativa,Yucatán,4656
158,Negativa,Zacatecas,3625
159,Probablemente Benigna,Aguascalientes,108
160,Probablemente Benigna,Baja California,544
161,Probablemente Benigna,Baja California Sur,198
162,Probablemente Benigna,Campeche,222
163,Probablemente Benigna,Chiapas,3727
164,Probablemente Benigna,Chihuahua,3756
165,Probablemente Benigna,Ciudad de México,1127
166,Probablemente Benigna,Coahuila de Zaragoza,470
167,Probablemente Benigna,Colima,210
168,Probablemente Benigna,Durango,161
169,Probablemente Benigna,Estado de México,7908
170,Probablemente Benigna,Guanajuato,651
171,Probablemente Benigna,Guerrero,494
172,Probablemente Benigna,Hidalgo,1004
173,Probablemente Benigna,Jalisco,6451
174,Probablemente Benigna,Michoacán de Ocampo,399
175,Probablemente Benigna,Morelos,1953
176,Probablemente Benigna,Nayarit,289
177,Probablemente Benigna,Nuevo León,645
178,Probablemente Benigna,Oaxaca,1119
179,Probablemente Benigna,Puebla,701
180,Probablemente Benigna,Querétaro,1722
181,Probablemente Benigna,Quintana Roo,344
182,Probablemente Benigna,San Luis Potosí,257
183,Probablemente Benigna,Sinaloa,239
184,Probablemente Benigna,Sonora,470
185,Probablemente Benigna,Tabasco,756
186,Probablemente Benigna,Tamaulipas,856
187,Probablemente Benigna,Tlaxcala,795
188,Probablemente Benigna,Veracruz,81
189,Probablemente Benigna,Yucatán,48
190,Probablemente Benigna,Zacatecas,1997
191,Riesgo Moderado de Malignidad,Aguascalientes,1
