,resultado,estado,count
156,Negativa,Tlaxcala,161
157,Negativa,Veracruz,1433
158,Negativa,Yucatán,3689
159,Negativa,Zacatecas,5775
160,Probablemente Benigna,Aguascalientes,89
161,Probablemente Benigna,Baja California,589
162,Probablemente Benigna,Baja California Sur,97
163,Probablemente Benigna,Campeche,143
164,Probablemente Benigna,Chiapas,391
165,Probablemente Benigna,Chihuahua,3121
166,Probablemente Benigna,Ciudad de México,1215
167,Probablemente Benigna,Coahuila de Zaragoza,868
168,Probablemente Benigna,Colima,352
169,Probablemente Benigna,Durango,271
170,Probablemente Benigna,Estado de México,7516
171,Probablemente Benigna,Guanajuato,1753
172,Probablemente Benigna,Guerrero,531
173,Probablemente Benigna,Hidalgo,5588
174,Probablemente Benigna,Jalisco,2403
175,Probablemente Benigna,Michoacán de Ocampo,373
176,Probablemente Benigna,Morelos,865
177,Probablemente Benigna,Nayarit,134
178,Probablemente Benigna,Nuevo León,412
179,Probablemente Benigna,Oaxaca,912
180,Probablemente Benigna,Puebla,1413
181,Probablemente Benigna,Querétaro,2521
182,Probablemente Benigna,Quintana Roo,318
183,Probablemente Benigna,San Luis Potosí,268
184,Probablemente Benigna,Sinaloa,478
185,Probablemente Benigna,Sonora,602
186,Probablemente Benigna,Tabasco,587
187,Probablemente Benigna,Tamaulipas,1260
188,Probablemente Benigna,Tlaxcala,1231
189,Probablemente Benigna,Veracruz,292
190,Probablemente Benigna,Yucatán,57
191,Probablemente Benigna,Zacatecas,2837
