,resultado,estado,cuenta
221,Riesgo Moderado de Malignidad,Baja California,1
222,Riesgo Moderado de Malignidad,Chihuahua,8
223,Riesgo Moderado de Malignidad,Ciudad de México,6
224,Riesgo Moderado de Malignidad,Estado de México,4
225,Riesgo Moderado de Malignidad,Guanajuato,2
226,Riesgo Moderado de Malignidad,Hidalgo,1
227,Riesgo Moderado de Malignidad,Jalisco,3
228,Riesgo Moderado de Malignidad,Michoacán de Ocampo,4
229,Riesgo Moderado de Malignidad,Morelos,3
230,Riesgo Moderado de Malignidad,Nuevo León,1
231,Riesgo Moderado de Malignidad,Oaxaca,7
232,Riesgo Moderado de Malignidad,Puebla,6
233,Riesgo Moderado de Malignidad,Tabasco,4
234,Riesgo Moderado de Malignidad,Zacatecas,1
