"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CAN","Canada","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CAN","Canada","2016","2016",100.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CAN","Canada","2017","2017",103.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CAN","Canada","2018","2018",105.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CAN","Canada","2019","2019",107.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CZE","Czech Republic","2010","2010",93.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CZE","Czech Republic","2011","2011",93.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CZE","Czech Republic","2012","2012",95.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CZE","Czech Republic","2013","2013",96.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CZE","Czech Republic","2014","2014",98.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CZE","Czech Republic","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CZE","Czech Republic","2016","2016",101.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CZE","Czech Republic","2017","2017",102.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CZE","Czech Republic","2018","2018",105.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CZE","Czech Republic","2019","2019",109.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DNK","Denmark","2010","2010",94.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DNK","Denmark","2011","2011",95.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DNK","Denmark","2012","2012",97.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DNK","Denmark","2013","2013",98.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DNK","Denmark","2014","2014",99.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DNK","Denmark","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DNK","Denmark","2016","2016",100.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DNK","Denmark","2017","2017",101.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DNK","Denmark","2018","2018",102.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DNK","Denmark","2019","2019",103.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FIN","Finland","2010","2010",89.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FIN","Finland","2011","2011",91.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FIN","Finland","2012","2012",94.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FIN","Finland","2013","2013",96.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FIN","Finland","2014","2014",98.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FIN","Finland","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FIN","Finland","2016","2016",100.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FIN","Finland","2017","2017",100.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FIN","Finland","2018","2018",102.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FIN","Finland","2019","2019",104.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FRA","France","2010","2010",95.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FRA","France","2011","2011",96.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FRA","France","2012","2012",97.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FRA","France","2013","2013",98.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FRA","France","2014","2014",98.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FRA","France","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FRA","France","2016","2016",100.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FRA","France","2017","2017",101,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FRA","France","2018","2018",101.8,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","FRA","France","2019","2019",103.3,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DEU","Germany","2010","2010",92.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DEU","Germany","2011","2011",93.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DEU","Germany","2012","2012",94.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DEU","Germany","2013","2013",96.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DEU","Germany","2014","2014",98.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DEU","Germany","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DEU","Germany","2016","2016",101.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DEU","Germany","2017","2017",102.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DEU","Germany","2018","2018",103.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","DEU","Germany","2019","2019",106,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GRC","Greece","2010","2010",104.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GRC","Greece","2011","2011",105.1,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GRC","Greece","2012","2012",104.7,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GRC","Greece","2013","2013",102.2,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GRC","Greece","2014","2014",100.3,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GRC","Greece","2015","2015",100,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GRC","Greece","2016","2016",99.8,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GRC","Greece","2017","2017",100.4,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GRC","Greece","2018","2018",100.9,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GRC","Greece","2019","2019",100.5,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","HUN","Hungary","2010","2010",86.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","HUN","Hungary","2011","2011",88.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","HUN","Hungary","2012","2012",91.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","HUN","Hungary","2013","2013",94.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","HUN","Hungary","2014","2014",97.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","HUN","Hungary","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","HUN","Hungary","2016","2016",101,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","HUN","Hungary","2017","2017",104.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","HUN","Hungary","2018","2018",109.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","HUN","Hungary","2019","2019",114.4,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISL","Iceland","2010","2010",83.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISL","Iceland","2011","2011",86.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISL","Iceland","2012","2012",89.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISL","Iceland","2013","2013",91.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISL","Iceland","2014","2014",94.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISL","Iceland","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISL","Iceland","2016","2016",101.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISL","Iceland","2017","2017",102.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISL","Iceland","2018","2018",105,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISL","Iceland","2019","2019",109.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IRL","Ireland","2010","2010",88.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IRL","Ireland","2011","2011",89.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IRL","Ireland","2012","2012",91.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IRL","Ireland","2013","2013",92.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IRL","Ireland","2014","2014",92.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IRL","Ireland","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IRL","Ireland","2016","2016",99.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IRL","Ireland","2017","2017",100.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IRL","Ireland","2018","2018",101.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IRL","Ireland","2019","2019",103.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ITA","Italy","2010","2010",94.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ITA","Italy","2011","2011",95.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ITA","Italy","2012","2012",97.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ITA","Italy","2013","2013",98.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ITA","Italy","2014","2014",99.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ITA","Italy","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ITA","Italy","2016","2016",101.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ITA","Italy","2017","2017",101.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ITA","Italy","2018","2018",102.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ITA","Italy","2019","2019",103.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","JPN","Japan","2010","2010",98.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","JPN","Japan","2011","2011",97.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","JPN","Japan","2012","2012",96.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","JPN","Japan","2013","2013",96.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","JPN","Japan","2014","2014",97.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","JPN","Japan","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","JPN","Japan","2016","2016",100.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","JPN","Japan","2017","2017",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","JPN","Japan","2018","2018",99.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","JPN","Japan","2019","2019",100.5,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","KOR","Korea","2010","2010",92.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","KOR","Korea","2011","2011",93.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","KOR","Korea","2012","2012",95.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","KOR","Korea","2013","2013",96,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","KOR","Korea","2014","2014",96.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","KOR","Korea","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","KOR","Korea","2016","2016",102,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","KOR","Korea","2017","2017",104.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","KOR","Korea","2018","2018",104.7,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","KOR","Korea","2019","2019",103.8,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","LUX","Luxembourg","2010","2010",88.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","LUX","Luxembourg","2011","2011",93.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","LUX","Luxembourg","2012","2012",95.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","LUX","Luxembourg","2013","2013",97.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","LUX","Luxembourg","2014","2014",99.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","LUX","Luxembourg","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","LUX","Luxembourg","2016","2016",100.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","LUX","Luxembourg","2017","2017",102.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","LUX","Luxembourg","2018","2018",105.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","LUX","Luxembourg","2019","2019",108.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","MEX","Mexico","2010","2010",83.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","MEX","Mexico","2011","2011",88.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","MEX","Mexico","2012","2012",91.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","MEX","Mexico","2013","2013",93.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","MEX","Mexico","2014","2014",97.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","MEX","Mexico","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","MEX","Mexico","2016","2016",105.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","MEX","Mexico","2017","2017",112.4,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","MEX","Mexico","2018","2018",118,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","MEX","Mexico","2019","2019",121.9,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NLD","Netherlands","2010","2010",96.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NLD","Netherlands","2011","2011",96.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NLD","Netherlands","2012","2012",97.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NLD","Netherlands","2013","2013",99,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NLD","Netherlands","2014","2014",99.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NLD","Netherlands","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NLD","Netherlands","2016","2016",100.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NLD","Netherlands","2017","2017",101.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NLD","Netherlands","2018","2018",104,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NLD","Netherlands","2019","2019",107.1,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NZL","New Zealand","2010","2010",92.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NZL","New Zealand","2011","2011",94.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NZL","New Zealand","2012","2012",94.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NZL","New Zealand","2013","2013",98.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NZL","New Zealand","2014","2014",99.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NZL","New Zealand","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NZL","New Zealand","2016","2016",102.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NZL","New Zealand","2017","2017",105.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NZL","New Zealand","2018","2018",106.4,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NZL","New Zealand","2019","2019",108.8,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NOR","Norway","2010","2010",90.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NOR","Norway","2011","2011",96.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NOR","Norway","2012","2012",100.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NOR","Norway","2013","2013",102.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NOR","Norway","2014","2014",102.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NOR","Norway","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NOR","Norway","2016","2016",98.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NOR","Norway","2017","2017",102.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NOR","Norway","2018","2018",108.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NOR","Norway","2019","2019",107.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","POL","Poland","2010","2010",93.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","POL","Poland","2011","2011",96.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","POL","Poland","2012","2012",98.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","POL","Poland","2013","2013",98.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","POL","Poland","2014","2014",99.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","POL","Poland","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","POL","Poland","2016","2016",100.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","POL","Poland","2017","2017",102.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","POL","Poland","2018","2018",103.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","POL","Poland","2019","2019",106.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","PRT","Portugal","2010","2010",95.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","PRT","Portugal","2011","2011",95.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","PRT","Portugal","2012","2012",95.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","PRT","Portugal","2013","2013",97.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","PRT","Portugal","2014","2014",98,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","PRT","Portugal","2015","2015",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","PRT","Portugal","2016","2016",101.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","PRT","Portugal","2017","2017",103.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","PRT","Portugal","2018","2018",104.9,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","PRT","Portugal","2019","2019",106.7,"E","Estimated value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","SVK","Slovak Republic","2010","2010",97,,
